Unnamed: 0,Unnamed: 0.1,log_messages,len,valid_messages,label
0,0,starting fetch with curl client,5,True,0.0
1,1,starting fetch with simple client,5,True,0.0
2,2,lost client at host,7,True,0.0
3,3,tornado autoreload started more than once in the same process,10,True,0.0
4,4,script exited with uncaught exception,5,True,0.0
5,5,got events for closedeam,8,True,0.0
6,6,error on read,6,True,0.0
7,7,write error onstr,9,True,0.0
8,8,connect error on fdstr,10,True,0.0
9,9,invalid cookie signature,6,True,0.0
10,10,expired cookie,5,True,0.0
11,11,cookie timestamp in future possible tampering,9,True,0.0
12,12,tampered cookie,5,True,0.0
13,13,pgettext is not supported by csvlocale,6,True,0.0
14,14,failed while trying in,10,True,0.0
15,15,custom logging for permissionerror,7,True,0.0
16,16,your like action is blocked,5,True,0.0
17,17,failedfor,8,True,0.0
18,18,tried to decode as json and failed,10,True,0.0
19,19,error in checking parameter list,8,True,0.0
20,20,could not get app service config files from config,6,True,0.0
21,21,encountered error deleting txt record,8,True,0.0
22,22,invalid email address,6,True,0.0
23,23,use ofis deprecated,7,True,0.0
24,24,request timed out retrying,7,True,0.0
25,25,could not choose appropriate plugin for updaters,10,True,0.0
26,26,event match condition with no pattern,5,True,0.0
27,27,dropping search row,6,True,0.0
28,28,framesource calibrate we suggest using 20 or more images to perform camera calibration,13,True,0.0
29,29,all compatibility tests succeeded,4,True,0.0
30,30,one or more compatibility tests failed,6,True,0.0
31,31,the required orange machine learning library is not installed,9,True,0.0
32,32,directory exists but is not writable,9,True,0.0
33,33,unable to create,6,True,0.0
34,34,default location unusable using,7,True,0.0
35,35,undeclared extra,5,True,0.0
37,37,no signing program available not signed,6,True,0.0
38,38,invalid path for wheel,7,True,0.0
39,39,error matchingwith,9,True,0.0
40,40,failed to open,6,True,0.0
41,41,sdist checks failed scroll up to see,7,True,1.0
42,42,wheel checks failed,3,True,0.0
43,43,connection pool is full discarding connection,9,True,0.0
44,44,this is a warning message,5,True,1.0
45,45,template variable warning,6,True,0.0
46,46,no files found matching,7,True,0.0
56,56,write socket descriptor is not ready after,7,True,0.0
60,60,replica set switched hosts disconnecting wanted,6,True,0.0
61,61,error parsing requirements forstr,10,True,0.0
62,62,deleting,4,True,0.0
63,63,error please provide a package name or names,8,True,0.0
64,64,package not found,7,True,0.0
65,65,attempt to cleanup indexfailed,8,True,0.0
66,66,can not list files in directory,6,True,0.0
67,67,sql exception while closing jdbc connection,6,True,0.0
68,68,unexpectedly received registration secret to,5,True,0.0
69,69,unauthorized access attempted to,4,True,0.0
70,70,asked to reserve slot on nodebut unable to find node slotid get owning node id,16,True,0.0
71,71,unable to delete container,4,True,0.0
72,72,using deprecated version of django avatar,6,True,0.0
73,73,looks like the timeout overflowed so resetting it to the maximum,11,True,0.0
74,74,unable to handlemsg,7,True,0.0
75,75,frame is not final chaos may ensue,7,True,0.0
76,76,unable to find existing webdriver session wrong parameter name,9,True,0.0
77,77,attempted to find webdriver id but none specified bailing,10,True,0.0
78,78,attempt to use non existent session,6,True,0.0
79,79,unable to create uri from,5,True,0.0
80,80,invalid uri for endpoint,4,True,0.0
81,81,unhandled type,2,True,1.0
82,82,you should be using attachfile to set the value of a file input element,14,True,0.0
83,83,can not determine whether page supports ready state abandoning wait,10,True,0.0
84,84,toolmissing,8,True,0.0
85,85,invalid transaction schema,6,True,0.0
86,86,stopping scripts running too long after shutdown,10,True,0.0
87,87,duplicate iddetected skipping,8,True,0.0
88,88,can not get last state entity not added to has,10,True,0.0
89,89,error converting expires in to int,8,True,0.0
90,90,error during and condition,7,True,0.0
91,91,error during or condition,7,True,0.0
92,92,error during not condition,7,True,0.0
93,93,closest unable to find state,8,True,0.0
94,94,exception on lost future,4,True,0.0
95,95,integrationhas no is on method,8,True,0.0
96,96,could not query server,4,True,0.0
97,97,skipping device without known mac address,6,True,0.0
98,98,invalid key for deconz at,8,True,0.0
99,99,disconnected,4,True,0.0
100,100,can not update devices,7,True,0.0
101,101,empty reply found when expecting json data,7,True,0.0
102,102,error while turning on devicestr,11,True,0.0
103,103,error while turning off devicestr,11,True,0.0
104,104,could not update status forstr,11,True,0.0
105,105,lost connection to,6,True,0.0
120,120,all link database not loaded,5,True,0.0
121,121,unable to find entity,7,True,0.0
122,122,wrong code entered,3,True,0.0
124,124,processing unexpected event type,7,True,0.0
125,125,event is unknown and not forwarded,6,True,0.0
126,126,invalid response from api,4,True,0.0
127,127,communication restored with temperature sensor,5,True,0.0
128,128,hybrid type fornot compatible with signal,10,True,0.0
129,129,disconnected from rflink reconnecting,4,True,0.0
130,130,connection failed for,6,True,0.0
132,132,could not connect towill keep trying,10,True,0.0
133,133,connected to,5,True,0.0
134,134,could not retrieve data from rmv de,7,True,0.0
135,135,groupdoesnt exist,10,True,0.0
136,136,lost connection to unifi controller,5,True,0.0
137,137,connected to unifi atbut not registered,10,True,0.0
138,138,aerror occurred,9,True,0.0
139,139,retrieve wrong unload for,7,True,0.0
140,140,not connected with hass io system too busy,8,True,0.0
141,141,cant read last version,8,True,0.0
142,142,failed to connect to,7,True,0.0
143,143,connected to device atbut not registered,10,True,0.0
144,144,timeout when trying to get battery status,7,True,0.0
145,145,could not read battery status,8,True,0.0
146,146,removing unknown panel,6,True,0.0
147,147,themenot found,6,True,0.0
148,148,unable to reach the ipify service,6,True,0.0
149,149,returned no results,6,True,0.0
150,150,no forecast for fcday,7,True,0.0
153,153,child typeis not supported,8,True,0.0
154,154,the websocket command camera thumbnail has been deprecated,7,True,0.0
155,155,currencynot found,6,True,0.0
156,156,foldernot found in configuration folder,9,True,0.0
158,158,hisense aeh w4a1 atnot found,9,True,0.0
159,159,bad update of sensor,7,True,0.0
161,161,unable to open serial port,8,True,0.0
162,162,error purging history,6,True,0.0
164,164,event is not json serializable,8,True,0.0
165,165,hlk sw16disconnected,6,True,0.0
166,166,hlk sw16connected,6,True,0.0
168,168,could not read state forstr,11,True,0.0
169,169,polling error,5,True,0.0
171,171,wrong code entered for disarming,5,True,0.0
172,172,wrong code entered for,7,True,0.0
173,173,no mapping for mode,7,True,0.0
174,174,could not update status for,8,True,0.0
175,175,unable to update entity,7,True,0.0
176,176,operation modecould not be mapped to hass,11,True,0.0
177,177,fan modecould not be mapped to hass,11,True,0.0
178,178,melissa have no setting formode,9,True,0.0
179,179,melissa have no setting forfan mode,10,True,0.0
180,180,could not restore last state,8,True,0.0
181,181,while calculating integration,6,True,1.0
182,182,failed to get camera image,8,True,0.0
183,183,only one configuration of abode is allowed,7,True,1.0
185,185,kira code invalid data,7,True,0.0
187,187,setting level error,6,True,0.0
188,188,setting priority error,6,True,0.0
190,190,there dont appear to be any folders,8,True,0.0
191,191,there dont appear to be any uploaded videos,9,True,0.0
192,192,unable to find dyson fan device,9,True,0.0
193,193,unable to connect to device,8,True,0.0
194,194,file not present,6,True,0.0
195,195,failed to poll vm container,8,True,0.0
196,196,couldnt find vm container with the id,12,True,0.0
197,197,duplicate device ids detected,7,True,0.0
198,198,duplicate device mac addresses detected,8,True,0.0
199,199,could not parse gps value forstr,12,True,0.0
200,200,observation failed for,6,True,0.0
201,201,observation failed trying again,4,True,0.0
202,202,origin stop idnot found,9,True,0.0
203,203,failed to initialize,6,True,0.0
204,204,error callingstr,8,True,0.0
205,205,could not connectstr,9,True,0.0
206,206,error on restorestr,9,True,0.0
207,207,timeout waiting for target groups,8,True,0.0
208,208,did not find alarm with id,10,True,0.0
210,210,changing hvac mode is not supported,6,True,0.0
211,211,changing preset mode is not supported,6,True,0.0
212,212,authentication failed,2,True,0.0
213,213,banned ipfor too many login attempts,10,True,0.0
214,214,invalid code given for,7,True,0.0
215,215,unable to fetch data from google wifi,7,True,0.0
216,216,waiting for ptvsd connection onstr,11,True,0.0
217,217,listening for ptvsd connection onstr,11,True,0.0
218,218,updating google domains failedstr,10,True,0.0
219,219,cant connect to google domains api,7,True,0.0
220,220,timeout from google domains api for domain,10,True,0.0
221,221,network issues detect with,7,True,0.0
222,222,integrationis not supported,7,True,0.0
223,223,unable to parse jsonstr,10,True,0.0
224,224,received unexpected payload,6,True,0.0
226,226,invalid rgb color value received,5,True,0.0
227,227,invalid xy color value received,5,True,0.0
228,228,invalid hs color value received,5,True,0.0
229,229,invalid brightness value received,4,True,0.0
230,230,invalid color temp value received,5,True,0.0
231,231,invalid white value received,4,True,0.0
232,232,invalid state value received,4,True,0.0
234,234,invalid color temperature value received,5,True,0.0
235,235,invalid color value received,4,True,0.0
237,237,unsupported effect value received,4,True,0.0
238,238,unable to locate value for,8,True,0.0
239,239,playlists are not supported looking for the first video,9,True,0.0
240,240,failed to executeon,10,True,0.0
241,241,scenedoes not exist,7,True,0.0
242,242,alarm decoder unexpectedly lost connection,4,True,0.0
244,244,your phone does not support incoming sms notifications,8,True,0.0
245,245,json result was not a dictionary,6,True,0.0
246,246,unable to parse output as json,9,True,0.0
248,248,no locations shared with this account,7,True,0.0
249,249,resource import failed data invalid,8,True,0.0
250,250,could not fetch monitors from zoneminder host,10,True,0.0
251,251,could not fetch monitors from zoneminder,6,True,0.0
252,252,could not fetch any monitors from zoneminder,7,True,0.0
253,253,unknown error connecting to device,5,True,0.0
254,254,error reporting statestr,9,True,0.0
255,255,timeout trying to sync entities to alexa,7,True,0.0
256,256,error trying to sync entities to alexa,10,True,0.0
257,257,found unknown component,6,True,0.0
258,258,exception while resolving host,7,True,0.0
259,259,error on retrieving data,7,True,0.0
260,260,everlights control box connection lost,5,True,0.0
261,261,everlights control box connection restored,5,True,0.0
263,263,no available aws session for,8,True,0.0
264,264,failed to connect,6,True,0.0
265,265,cant remove cache filestr,11,True,0.0
266,266,updating duckdns domain failed,7,True,0.0
267,267,waitings to retry,7,True,0.0
268,268,failed to connect to d link switch,7,True,0.0
269,269,changing aux heat is not supported,6,True,0.0
271,271,received unknown preset mode,7,True,0.0
273,273,playlists could not be updated,8,True,0.0
274,274,unknown playlist name,6,True,0.0
275,275,received an invalid fan mode,8,True,0.0
276,276,invalid speed received,6,True,0.0
277,277,cant load img file,11,True,0.0
278,278,returned data not understood,4,True,0.0
279,279,invalid duration value,6,True,0.0
280,280,invalid fontsize value,6,True,0.0
281,281,invalid position value,6,True,0.0
282,282,invalid transparency value,6,True,0.0
283,283,invalid color value,6,True,0.0
284,284,invalid interrupt value,6,True,0.0
285,285,is not secure to load data from,10,True,0.0
286,286,neither url nor local path found in params,8,True,0.0
287,287,finishing verification with fail,4,True,0.0
288,288,execute sql tx rollback failed,7,True,0.0
289,289,docker logging thread still running,5,True,0.0
290,290,this is not my subtask,8,True,0.0
291,291,invalid condition,5,True,0.0
292,292,disconnect timed out,6,True,0.0
293,293,unable to connect to hub,8,True,0.0
294,294,connection timed out,6,True,0.0
295,295,no configuration received from hub,8,True,0.0
296,296,no callback available for this datatype,6,True,0.0
297,297,fritzbox connection error,6,True,0.0
298,298,connection error,5,True,0.0
299,299,fritzhome connection error,6,True,0.0
301,301,unknown state,5,True,1.0
302,302,unknown command,5,True,1.0
303,303,attempt to take snapshot whencamera is,13,True,0.0
304,304,unable to connect to shodan io,9,True,0.0
306,306,can not connect toover websocket,12,True,0.0
307,307,connection totimed out,10,True,0.0
308,308,logi circle no longer works with camera platform configuration,9,True,0.0
309,309,logi circle no longer works with sensor platform configuration,9,True,0.0
310,310,updating namecheap domain failed,7,True,0.0
311,311,no devices were added,4,True,0.0
312,312,phonebook with idnot found on fritz box,12,True,0.0
313,313,connection lost reconnecting,3,True,0.0
314,314,detection running on cpu this may be potentially slow,9,True,0.0
315,315,unable to connect to rocket chat server at,11,True,0.0
316,316,rocket chat authentication failed for user,9,True,0.0
317,317,value not available,6,True,0.0
319,319,multiple matches found during search,8,True,0.0
320,320,no player associated with active session,6,True,0.0
322,322,please re authenticate with google,5,True,0.0
323,323,no route to device,7,True,0.0
325,325,devicedoesnt contain any data,9,True,0.0
326,326,unknown operation mode,6,True,0.0
327,327,exception raised while attempting to login,9,True,0.0
328,328,failed to refresh iaqualink state,5,True,0.0
329,329,error reading next code from lirc,6,True,0.0
330,330,unmapped device model,6,True,0.0
331,331,unsupported movement type detected,6,True,0.0
332,332,unsupported click type detected,6,True,0.0
333,333,unmapped device model,3,True,0.0
334,334,an error occurred when parsing webhook data,10,True,0.0
336,336,network unavailable,5,True,0.0
337,337,unknown hintstr,8,True,0.0
342,342,missing x speech content,4,True,0.0
343,343,wrong format of x speech content,9,True,0.0
344,344,could not reach fritz box,8,True,0.0
345,345,updating freedns failed,6,True,0.0
346,346,cant connect to freedns api,6,True,0.0
